student_id,post_time,platform,text_content,emotion_label,tokenized_text
S000007,2025-09-22 12:00:00,校园论坛,下个月有英语四级考试，要开始准备了。 #记录,neutral,下个月有英语四级考试 要开始准备了
S000007,2025-09-28 01:37:00,校园论坛,食堂今天的菜色和昨天差不多。 加油！,neutral,食堂今天的菜色和昨天差不多 加油
S000007,2025-10-01 05:26:00,树洞,感觉自己什么都做不好，好失败... #今天,negative,感觉自己什么都做不好 好失败
S000007,2025-11-10 03:03:00,树洞,电脑风扇声音很大，该清灰了。,neutral,电脑风扇声音很大 该清灰了
S000007,2025-11-29 23:50:00,校园论坛,被同学误会了，解释也没人听...,negative,被同学误会了 解释也没人听
S000008,2025-09-06 19:05:00,匿名留言板,今天摔了一跤，膝盖好疼... 希望明天会更好,negative,今天摔了一跤 膝盖好疼 希望明天会更好
S000008,2025-10-01 12:07:00,匿名留言板,图书馆二楼的自习室比较安静。,neutral,图书馆二楼的自习室比较安静
S000008,2025-10-04 06:42:00,校园论坛,今天作业不多，可以早点休息。 #日常,neutral,今天作业不多 可以早点休息
S000008,2025-11-05 02:54:00,匿名留言板,和新同学认识聊得很愉快，交到了新朋友。,positive,和新同学认识聊得很愉快 交到了新朋友
S000008,2025-11-12 03:04:00,校园论坛,论文写不出来，deadline又快到了。 #日常,negative,论文写不出来 又快到了 deadline
S000008,2025-11-25 20:19:00,校园论坛,最近压力好大，睡不着觉。,negative,最近压力好大 睡不着觉
S000009,2025-09-07 02:40:00,校园论坛,期末复习太累了，脑子转不动。,negative,期末复习太累了 脑子转不动
S000009,2025-09-14 23:35:00,校园论坛,和同学讨论问题很有收获，团队合作很重要。 希望明天会更好,positive,和同学讨论问题很有收获 团队合作很重要 希望明天会更好
S000009,2025-10-14 06:43:00,校园论坛,下个月有英语四级考试，要开始准备了。 分享给大家~,neutral,下个月有英语四级考试 要开始准备了 分享给大家
S000009,2025-10-15 02:56:00,校园论坛,和同学讨论问题很有收获，团队合作很重要。,positive,和同学讨论问题很有收获 团队合作很重要
S000009,2025-11-09 22:19:00,匿名留言板,耳机丢了，最近只能外放了。,neutral,耳机丢了 最近只能外放了
S000009,2025-11-10 09:59:00,校园论坛,这周生活费还剩一半，需要省着点花。 #日常,neutral,这周生活费还剩一半 需要省着点花
S000010,2025-09-06 11:13:00,匿名留言板,明天有小组会议，要准备一下PPT。 #校园生活,neutral,明天有小组会议 要准备一下 ppt
S000010,2025-09-17 20:16:00,匿名留言板,今天尝试了一道新菜，很成功！ 分享给大家~,positive,今天尝试了一道新菜 很成功 分享给大家
S000010,2025-09-23 13:01:00,树洞,今天的阳光很温暖，适合出去走走。 #今天,positive,今天的阳光很温暖 适合出去走走
S000010,2025-10-18 18:35:00,校园论坛,收到了心仪公司的offer，太激动了！,positive,收到了心仪公司的 太激动了 offer
S000010,2025-10-23 19:47:00,树洞,完成了一个月的早起打卡计划，坚持就是胜利！,positive,完成了一个月的早起打卡计划 坚持就是胜利
S000010,2025-11-11 00:07:00,校园论坛,收到了心仪公司的offer，太激动了！ 分享给大家~,positive,收到了心仪公司的 太激动了 分享给大家 offer
S000011,2025-09-09 08:22:00,树洞,下节课换到了更大的教室。 给自己加油！,neutral,下节课换到了更大的教室 给自己加油
S000011,2025-09-30 07:01:00,校园论坛,下节课换到了更大的教室。 #校园生活,neutral,下节课换到了更大的教室
S000011,2025-10-02 08:10:00,树洞,明天有小组会议，要准备一下PPT。 #今天,neutral,明天有小组会议 要准备一下 ppt
S000011,2025-10-04 01:06:00,匿名留言板,生活费快花完了，又不好意思向家里要... 加油！,negative,生活费快花完了 又不好意思向家里要 加油
S000011,2025-10-31 07:12:00,校园论坛,今天食堂推出了新菜品，排队的人很多。 #校园生活,neutral,今天食堂推出了新菜品 排队的人很多
S000011,2025-11-08 10:01:00,匿名留言板,今天的午餐特别好吃，食堂阿姨太棒了！,positive,今天的午餐特别好吃 食堂阿姨太棒了
S000012,2025-09-16 23:57:00,校园论坛,想家了，好想回家... 给自己加油！,negative,想家了 好想回家 给自己加油
S000012,2025-10-19 21:47:00,校园论坛,明天早八有课，要定闹钟了。 希望明天会更好,neutral,明天早八有课 要定闹钟了 希望明天会更好
S000012,2025-10-22 22:18:00,匿名留言板,感觉自己什么都做不好，好失败... #今天,negative,感觉自己什么都做不好 好失败
S000012,2025-10-26 19:32:00,校园论坛,解决了困扰我好久的问题，太开心了！,positive,解决了困扰我好久的问题 太开心了
S000012,2025-11-25 06:23:00,校园论坛,今天的课好难，完全听不懂。 希望明天会更好,negative,今天的课好难 完全听不懂 希望明天会更好
S000012,2025-11-30 13:00:00,匿名留言板,感觉和周围的人格格不入。 给自己加油！,negative,感觉和周围的人格格不入 给自己加油
S000013,2025-09-22 21:05:00,校园论坛,和新同学认识聊得很愉快，交到了新朋友。 #校园生活,positive,和新同学认识聊得很愉快 交到了新朋友
S000013,2025-10-01 21:19:00,校园论坛,周末和室友一起去看了电影，很放松！,positive,周末和室友一起去看了电影 很放松
S000013,2025-10-02 15:39:00,校园论坛,图书馆九点闭馆，需要早点去。 #记录,neutral,图书馆九点闭馆 需要早点去
S000013,2025-10-12 14:28:00,校园论坛,感觉自己什么都做不好，好失败... 分享给大家~,negative,感觉自己什么都做不好 好失败 分享给大家
S000013,2025-11-10 00:19:00,匿名留言板,收到了好朋友的礼物，感动！ 希望明天会更好,positive,收到了好朋友的礼物 感动 希望明天会更好
S000013,2025-11-20 18:12:00,校园论坛,下节课换到了更大的教室。 #记录,neutral,下节课换到了更大的教室
S000014,2025-09-19 20:44:00,校园论坛,运动完之后整个人都轻松了，强烈推荐大家多锻炼！ #今天,positive,运动完之后整个人都轻松了 强烈推荐大家多锻炼
S000014,2025-10-02 20:17:00,匿名留言板,耳机丢了，最近只能外放了。 #记录,neutral,耳机丢了 最近只能外放了
S000014,2025-10-27 19:52:00,树洞,耳机丢了，最近只能外放了。 #今天,neutral,耳机丢了 最近只能外放了
S000014,2025-10-30 21:33:00,树洞,明天早八有课，要定闹钟了。 #校园生活,neutral,明天早八有课 要定闹钟了
S000014,2025-11-10 14:57:00,校园论坛,小组项目进展顺利，大家配合得很好。 #记录,positive,小组项目进展顺利 大家配合得很好
S000014,2025-11-29 16:29:00,校园论坛,完成了一个月的早起打卡计划，坚持就是胜利！,positive,完成了一个月的早起打卡计划 坚持就是胜利
S000015,2025-09-27 13:24:00,校园论坛,图书馆二楼的自习室比较安静。 加油！,neutral,图书馆二楼的自习室比较安静 加油
S000015,2025-09-28 02:26:00,校园论坛,感觉和周围的人格格不入。 #记录,negative,感觉和周围的人格格不入
S000015,2025-10-06 14:04:00,校园论坛,今天作业不多，可以早点休息。 #日常,neutral,今天作业不多 可以早点休息
S000015,2025-10-24 17:47:00,校园论坛,明天早八有课，要定闹钟了。,neutral,明天早八有课 要定闹钟了
S000015,2025-11-09 02:08:00,校园论坛,图书馆的氛围很好，学习效率很高。 加油！,positive,图书馆的氛围很好 学习效率很高 加油
S000015,2025-11-13 12:30:00,匿名留言板,完成了所有作业，可以好好休息一下了。 #日常,positive,完成了所有作业 可以好好休息一下了
S000016,2025-10-05 13:31:00,匿名留言板,今天的阳光很温暖，适合出去走走。 给自己加油！,positive,今天的阳光很温暖 适合出去走走 给自己加油
S000016,2025-10-14 12:17:00,树洞,手机内存不够了，需要清理一下。 #日常,neutral,手机内存不够了 需要清理一下
S000016,2025-10-21 18:36:00,校园论坛,图书馆九点闭馆，需要早点去。 给自己加油！,neutral,图书馆九点闭馆 需要早点去 给自己加油
S000016,2025-10-22 23:10:00,匿名留言板,这周生活费还剩一半，需要省着点花。 希望明天会更好,neutral,这周生活费还剩一半 需要省着点花 希望明天会更好
S000016,2025-10-30 05:03:00,校园论坛,今天的阳光很温暖，适合出去走走。,positive,今天的阳光很温暖 适合出去走走
S000016,2025-10-31 00:47:00,匿名留言板,生活费快花完了，又不好意思向家里要...,negative,生活费快花完了 又不好意思向家里要
S000017,2025-09-15 05:19:00,匿名留言板,今天天气真好，心情也很棒！ #日常,positive,今天天气真好 心情也很棒
S000017,2025-10-02 03:44:00,匿名留言板,明天早八有课，要定闹钟了。,neutral,明天早八有课 要定闹钟了
S000017,2025-10-19 12:45:00,树洞,解决了困扰我好久的问题，太开心了！ 加油！,positive,解决了困扰我好久的问题 太开心了 加油
S000017,2025-10-30 22:16:00,匿名留言板,天气预报说明天会下雨，记得带伞。 希望明天会更好,neutral,天气预报说明天会下雨 记得带伞 希望明天会更好
S000017,2025-11-19 04:15:00,树洞,运动完之后整个人都轻松了，强烈推荐大家多锻炼！ 希望明天会更好,positive,运动完之后整个人都轻松了 强烈推荐大家多锻炼 希望明天会更好
S000017,2025-11-23 01:48:00,树洞,完成了一个月的早起打卡计划，坚持就是胜利！,positive,完成了一个月的早起打卡计划 坚持就是胜利
S000018,2025-10-02 14:36:00,校园论坛,下节课换到了更大的教室。 #校园生活,neutral,下节课换到了更大的教室
S000018,2025-10-14 00:54:00,校园论坛,被同学误会了，解释也没人听...,negative,被同学误会了 解释也没人听
S000018,2025-10-17 20:57:00,校园论坛,这周生活费还剩一半，需要省着点花。 #今天,neutral,这周生活费还剩一半 需要省着点花
S000018,2025-11-06 20:17:00,校园论坛,电脑风扇声音很大，该清灰了。 #记录,neutral,电脑风扇声音很大 该清灰了
S000018,2025-11-12 01:22:00,匿名留言板,生活费快花完了，又不好意思向家里要...,negative,生活费快花完了 又不好意思向家里要
S000018,2025-11-15 08:20:00,树洞,图书馆九点闭馆，需要早点去。 #日常,neutral,图书馆九点闭馆 需要早点去
S000019,2025-09-11 07:46:00,匿名留言板,感觉和周围的人格格不入。,negative,感觉和周围的人格格不入
S000019,2025-10-12 05:31:00,校园论坛,今天的午餐特别好吃，食堂阿姨太棒了！ #校园生活,positive,今天的午餐特别好吃 食堂阿姨太棒了
S000019,2025-10-22 22:15:00,校园论坛,今天摔了一跤，膝盖好疼... #校园生活,negative,今天摔了一跤 膝盖好疼
S000019,2025-11-07 11:27:00,校园论坛,电脑风扇声音很大，该清灰了。 #校园生活,neutral,电脑风扇声音很大 该清灰了
S000019,2025-11-16 22:56:00,树洞,今天天气真好，心情也很棒！ 分享给大家~,positive,今天天气真好 心情也很棒 分享给大家
S000019,2025-11-22 22:31:00,校园论坛,今天感觉好累，什么都不想做。,negative,今天感觉好累 什么都不想做
S000020,2025-09-13 06:18:00,校园论坛,今天上课老师讲的内容很有趣，学到了很多新知识。 #日常,positive,今天上课老师讲的内容很有趣 学到了很多新知识
S000020,2025-09-16 23:34:00,校园论坛,天气预报说明天会下雨，记得带伞。,neutral,天气预报说明天会下雨 记得带伞
S000020,2025-09-17 20:55:00,匿名留言板,明天有小组会议，要准备一下PPT。,neutral,明天有小组会议 要准备一下 ppt
S000020,2025-10-29 08:19:00,校园论坛,运动完之后整个人都轻松了，强烈推荐大家多锻炼！ 加油！,positive,运动完之后整个人都轻松了 强烈推荐大家多锻炼 加油
S000020,2025-11-01 08:46:00,校园论坛,论文写不出来，deadline又快到了。 希望明天会更好,negative,论文写不出来 又快到了 希望明天会更好 deadline
S000020,2025-11-08 04:17:00,校园论坛,考试终于结束了，感觉发挥得不错！ 分享给大家~,positive,考试终于结束了 感觉发挥得不错 分享给大家
S000021,2025-09-29 16:24:00,树洞,最近总是莫名的焦虑不安。 #日常,negative,最近总是莫名的焦虑不安
S000021,2025-10-02 03:35:00,匿名留言板,明天早八有课，要定闹钟了。 希望明天会更好,neutral,明天早八有课 要定闹钟了 希望明天会更好
S000021,2025-10-25 09:36:00,校园论坛,明天早八有课，要定闹钟了。 加油！,neutral,明天早八有课 要定闹钟了 加油
S000021,2025-10-31 15:28:00,树洞,考试没考好，心情很低落... #日常,negative,考试没考好 心情很低落
S000021,2025-11-01 03:52:00,匿名留言板,小组项目进展顺利，大家配合得很好。,positive,小组项目进展顺利 大家配合得很好
S000021,2025-11-27 01:09:00,校园论坛,解决了困扰我好久的问题，太开心了！ #日常,positive,解决了困扰我好久的问题 太开心了
S000022,2025-09-10 01:10:00,树洞,明天早八有课，要定闹钟了。 加油！,neutral,明天早八有课 要定闹钟了 加油
S000022,2025-09-10 21:14:00,树洞,图书馆二楼的自习室比较安静。 给自己加油！,neutral,图书馆二楼的自习室比较安静 给自己加油
S000022,2025-09-26 13:07:00,树洞,对未来很迷茫，不知道该怎么办。 #日常,negative,对未来很迷茫 不知道该怎么办
S000022,2025-09-27 20:13:00,校园论坛,和朋友们一起吃饭好开心呀！,positive,和朋友们一起吃饭好开心呀
S000022,2025-10-08 01:14:00,树洞,和同学讨论问题很有收获，团队合作很重要。 加油！,positive,和同学讨论问题很有收获 团队合作很重要 加油
S000022,2025-11-10 02:10:00,匿名留言板,今天尝试了一道新菜，很成功！ 加油！,positive,今天尝试了一道新菜 很成功 加油
S000023,2025-09-23 15:33:00,树洞,下个月有英语四级考试，要开始准备了。,neutral,下个月有英语四级考试 要开始准备了
S000023,2025-10-05 16:34:00,校园论坛,最近压力好大，睡不着觉。 希望明天会更好,negative,最近压力好大 睡不着觉 希望明天会更好
S000023,2025-10-07 14:07:00,校园论坛,想家了，好想回家... 加油！,negative,想家了 好想回家 加油
S000023,2025-10-26 20:52:00,校园论坛,最近压力好大，睡不着觉。 #记录,negative,最近压力好大 睡不着觉
S000023,2025-10-26 23:20:00,校园论坛,今天上了三节课，分别是高数、英语和体育。,neutral,今天上了三节课 分别是高数 英语和体育
S000023,2025-11-26 18:37:00,校园论坛,下个月有英语四级考试，要开始准备了。 希望明天会更好,neutral,下个月有英语四级考试 要开始准备了 希望明天会更好
S000024,2025-09-01 21:55:00,校园论坛,每天都很忙碌但又觉得没有意义...,negative,每天都很忙碌但又觉得没有意义
S000024,2025-10-11 08:20:00,树洞,图书馆的氛围很好，学习效率很高。 分享给大家~,positive,图书馆的氛围很好 学习效率很高 分享给大家
S000024,2025-10-13 10:42:00,校园论坛,今天上课老师讲的内容很有趣，学到了很多新知识。 #校园生活,positive,今天上课老师讲的内容很有趣 学到了很多新知识
S000024,2025-10-17 19:48:00,校园论坛,最近总是莫名的焦虑不安。,negative,最近总是莫名的焦虑不安
S000024,2025-11-03 09:42:00,校园论坛,电脑风扇声音很大，该清灰了。,neutral,电脑风扇声音很大 该清灰了
S000024,2025-11-10 04:59:00,校园论坛,小组项目进展顺利，大家配合得很好。,positive,小组项目进展顺利 大家配合得很好
S000025,2025-10-24 10:59:00,校园论坛,下个月有英语四级考试，要开始准备了。,neutral,下个月有英语四级考试 要开始准备了
S000025,2025-10-24 15:30:00,校园论坛,今天被老师表扬了，有点小骄傲！,positive,今天被老师表扬了 有点小骄傲
S000025,2025-11-10 13:05:00,树洞,运动完之后整个人都轻松了，强烈推荐大家多锻炼！ #记录,positive,运动完之后整个人都轻松了 强烈推荐大家多锻炼
S000025,2025-11-16 16:47:00,匿名留言板,图书馆九点闭馆，需要早点去。 #日常,neutral,图书馆九点闭馆 需要早点去
S000025,2025-11-20 19:51:00,匿名留言板,今天上课老师讲的内容很有趣，学到了很多新知识。 #日常,positive,今天上课老师讲的内容很有趣 学到了很多新知识
S000025,2025-11-22 04:31:00,匿名留言板,学校最近在举办运动会报名。 分享给大家~,neutral,学校最近在举办运动会报名 分享给大家
S000026,2025-10-09 18:37:00,校园论坛,下周有社团活动，需要招募志愿者。,neutral,下周有社团活动 需要招募志愿者
S000026,2025-10-12 06:44:00,树洞,图书馆的氛围很好，学习效率很高。,positive,图书馆的氛围很好 学习效率很高
S000026,2025-10-13 03:55:00,树洞,明天有小组会议，要准备一下PPT。 分享给大家~,neutral,明天有小组会议 要准备一下 分享给大家 ppt
S000026,2025-10-23 01:20:00,树洞,下节课换到了更大的教室。 #今天,neutral,下节课换到了更大的教室
S000026,2025-11-01 11:21:00,校园论坛,感觉和周围的人格格不入。 #今天,negative,感觉和周围的人格格不入
S000026,2025-11-23 04:31:00,树洞,这周生活费还剩一半，需要省着点花。 分享给大家~,neutral,这周生活费还剩一半 需要省着点花 分享给大家
S000027,2025-09-02 23:09:00,校园论坛,对未来很迷茫，不知道该怎么办。,negative,对未来很迷茫 不知道该怎么办
S000027,2025-09-09 07:40:00,匿名留言板,学校最近在举办运动会报名。,neutral,学校最近在举办运动会报名
S000027,2025-10-04 10:39:00,树洞,图书馆九点闭馆，需要早点去。 #校园生活,neutral,图书馆九点闭馆 需要早点去
S000027,2025-10-09 00:02:00,校园论坛,考试没考好，心情很低落... #日常,negative,考试没考好 心情很低落
S000027,2025-10-26 03:48:00,校园论坛,明天有小组会议，要准备一下PPT。 #记录,neutral,明天有小组会议 要准备一下 ppt
S000027,2025-11-08 12:20:00,校园论坛,下周有社团活动，需要招募志愿者。 分享给大家~,neutral,下周有社团活动 需要招募志愿者 分享给大家
S000028,2025-09-02 14:57:00,校园论坛,今天被老师表扬了，有点小骄傲！,positive,今天被老师表扬了 有点小骄傲
S000028,2025-09-22 05:05:00,匿名留言板,下节课换到了更大的教室。 希望明天会更好,neutral,下节课换到了更大的教室 希望明天会更好
S000028,2025-10-09 06:24:00,校园论坛,明天有小组会议，要准备一下PPT。,neutral,明天有小组会议 要准备一下 ppt
S000028,2025-10-15 18:19:00,校园论坛,手机内存不够了，需要清理一下。 加油！,neutral,手机内存不够了 需要清理一下 加油
S000028,2025-10-26 04:15:00,匿名留言板,今天摔了一跤，膝盖好疼... 给自己加油！,negative,今天摔了一跤 膝盖好疼 给自己加油
S000028,2025-11-03 18:09:00,校园论坛,今天的午餐特别好吃，食堂阿姨太棒了！ #记录,positive,今天的午餐特别好吃 食堂阿姨太棒了
S000029,2025-09-17 02:58:00,校园论坛,收到了好朋友的礼物，感动！,positive,收到了好朋友的礼物 感动
S000029,2025-10-03 21:48:00,校园论坛,这周生活费还剩一半，需要省着点花。 给自己加油！,neutral,这周生活费还剩一半 需要省着点花 给自己加油
S000029,2025-10-07 07:38:00,校园论坛,今天作业不多，可以早点休息。 给自己加油！,neutral,今天作业不多 可以早点休息 给自己加油
S000029,2025-10-16 18:18:00,树洞,学校最近在举办运动会报名。,neutral,学校最近在举办运动会报名
S000029,2025-11-20 20:02:00,匿名留言板,最近总是莫名的焦虑不安。,negative,最近总是莫名的焦虑不安
S000029,2025-11-24 12:17:00,匿名留言板,考试终于结束了，感觉发挥得不错！ 希望明天会更好,positive,考试终于结束了 感觉发挥得不错 希望明天会更好
S000030,2025-09-19 07:55:00,校园论坛,下节课换到了更大的教室。 分享给大家~,neutral,下节课换到了更大的教室 分享给大家
S000030,2025-10-21 00:16:00,匿名留言板,最近总是莫名的焦虑不安。 #校园生活,negative,最近总是莫名的焦虑不安
S000030,2025-10-31 00:39:00,树洞,电脑风扇声音很大，该清灰了。 #校园生活,neutral,电脑风扇声音很大 该清灰了
S000030,2025-11-01 09:47:00,树洞,明天有小组会议，要准备一下PPT。 #记录,neutral,明天有小组会议 要准备一下 ppt
S000030,2025-11-09 11:33:00,校园论坛,期末复习太累了，脑子转不动。,negative,期末复习太累了 脑子转不动
S000030,2025-11-26 08:37:00,匿名留言板,生活费快花完了，又不好意思向家里要...,negative,生活费快花完了 又不好意思向家里要
S000031,2025-09-15 03:15:00,校园论坛,这周生活费还剩一半，需要省着点花。 #今天,neutral,这周生活费还剩一半 需要省着点花
S000031,2025-09-20 13:41:00,校园论坛,小组项目进展顺利，大家配合得很好。 希望明天会更好,positive,小组项目进展顺利 大家配合得很好 希望明天会更好
S000031,2025-09-29 20:04:00,校园论坛,今天食堂推出了新菜品，排队的人很多。 加油！,neutral,今天食堂推出了新菜品 排队的人很多 加油
S000031,2025-10-06 01:44:00,树洞,最近总是莫名的焦虑不安。 #记录,negative,最近总是莫名的焦虑不安
S000031,2025-10-23 03:08:00,树洞,考试终于结束了，感觉发挥得不错！ #日常,positive,考试终于结束了 感觉发挥得不错
S000031,2025-11-25 23:44:00,匿名留言板,手机内存不够了，需要清理一下。 希望明天会更好,neutral,手机内存不够了 需要清理一下 希望明天会更好
S000032,2025-09-19 04:34:00,匿名留言板,今天上课老师讲的内容很有趣，学到了很多新知识。,positive,今天上课老师讲的内容很有趣 学到了很多新知识
S000032,2025-09-25 03:54:00,校园论坛,图书馆九点闭馆，需要早点去。 给自己加油！,neutral,图书馆九点闭馆 需要早点去 给自己加油
S000032,2025-09-30 10:49:00,校园论坛,和新同学认识聊得很愉快，交到了新朋友。,positive,和新同学认识聊得很愉快 交到了新朋友
S000032,2025-10-17 03:43:00,校园论坛,生活费快花完了，又不好意思向家里要...,negative,生活费快花完了 又不好意思向家里要
S000032,2025-11-12 06:04:00,匿名留言板,电脑风扇声音很大，该清灰了。,neutral,电脑风扇声音很大 该清灰了
S000032,2025-11-21 19:01:00,树洞,今天的阳光很温暖，适合出去走走。,positive,今天的阳光很温暖 适合出去走走
S000033,2025-09-04 01:30:00,校园论坛,手机内存不够了，需要清理一下。 给自己加油！,neutral,手机内存不够了 需要清理一下 给自己加油
S000033,2025-09-04 04:00:00,校园论坛,最近食欲不好，什么都不想吃。 希望明天会更好,negative,最近食欲不好 什么都不想吃 希望明天会更好
S000033,2025-09-09 15:28:00,校园论坛,耳机丢了，最近只能外放了。 希望明天会更好,neutral,耳机丢了 最近只能外放了 希望明天会更好
S000033,2025-09-23 08:03:00,校园论坛,收到了好朋友的礼物，感动！ 分享给大家~,positive,收到了好朋友的礼物 感动 分享给大家
S000033,2025-10-27 02:57:00,校园论坛,和新同学认识聊得很愉快，交到了新朋友。,positive,和新同学认识聊得很愉快 交到了新朋友
S000033,2025-11-04 07:39:00,校园论坛,天气凉爽，适合跑步，感觉状态很好。 #日常,positive,天气凉爽 适合跑步 感觉状态很好
S000034,2025-09-13 10:27:00,树洞,期末复习太累了，脑子转不动。 #校园生活,negative,期末复习太累了 脑子转不动
S000034,2025-09-15 20:41:00,树洞,电脑风扇声音很大，该清灰了。 加油！,neutral,电脑风扇声音很大 该清灰了 加油
S000034,2025-10-06 19:40:00,树洞,今天的课好难，完全听不懂。 #今天,negative,今天的课好难 完全听不懂
S000034,2025-10-26 14:56:00,校园论坛,今天的阳光很温暖，适合出去走走。 #记录,positive,今天的阳光很温暖 适合出去走走
S000034,2025-11-07 09:29:00,匿名留言板,每天都很忙碌但又觉得没有意义...,negative,每天都很忙碌但又觉得没有意义
S000034,2025-11-27 15:04:00,校园论坛,和朋友们一起吃饭好开心呀！,positive,和朋友们一起吃饭好开心呀
S000035,2025-09-16 13:22:00,校园论坛,手机内存不够了，需要清理一下。 加油！,neutral,手机内存不够了 需要清理一下 加油
S000035,2025-10-06 18:14:00,匿名留言板,电脑风扇声音很大，该清灰了。 希望明天会更好,neutral,电脑风扇声音很大 该清灰了 希望明天会更好
S000035,2025-10-07 19:19:00,校园论坛,今天摔了一跤，膝盖好疼... 分享给大家~,negative,今天摔了一跤 膝盖好疼 分享给大家
S000035,2025-10-18 04:35:00,校园论坛,今天被老师表扬了，有点小骄傲！ 分享给大家~,positive,今天被老师表扬了 有点小骄傲 分享给大家
